country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","19-03-2026 16:00:00",25.610369,85.132568,PM2.5,64,283,138
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","19-03-2026 16:00:00",22.1910172,83.5197009,CO,15,88,17
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","19-03-2026 16:00:00",21.258815,81.578979,OZONE,5,28,8
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","19-03-2026 16:00:00",21.237755,81.705301,PM10,10,67,32
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","19-03-2026 16:00:00",21.371751,81.664929,NH3,2,2,2
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","19-03-2026 16:00:00",21.371751,81.664929,OZONE,3,35,16
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","19-03-2026 16:00:00",22.06631475,83.33820077,PM2.5,22,89,41
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","19-03-2026 16:00:00",22.06631475,83.33820077,PM10,21,152,55
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","19-03-2026 16:00:00",22.08815,82.13737,SO2,16,25,19
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","19-03-2026 16:00:00",22.118125,83.140608,PM2.5,20,65,41
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","19-03-2026 16:00:00",22.118125,83.140608,NO2,9,31,14
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","19-03-2026 16:00:00",22.118125,83.140608,OZONE,81,81,81
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","19-03-2026 16:00:00",22.368195,82.746431,PM10,49,107,72
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","19-03-2026 16:00:00",22.126650,83.483212,SO2,3,95,24
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","19-03-2026 16:00:00",22.126650,83.483212,CO,10,36,23
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","19-03-2026 16:00:00",24.7955,84.9994,PM2.5,NA,NA,NA
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","19-03-2026 16:00:00",25.697189,85.245900,CO,19,61,36
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","19-03-2026 16:00:00",25.560083,87.553265,NO2,9,10,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","19-03-2026 16:00:00",26.0881305,87.93840336,PM2.5,33,344,84
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","19-03-2026 16:00:00",26.0881305,87.93840336,PM10,33,208,68
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","19-03-2026 16:00:00",21.194815,81.314770,NO2,27,39,31
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","19-03-2026 16:00:00",21.194815,81.314770,SO2,6,7,7
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","19-03-2026 16:00:00",21.185571,81.343175,NO2,10,11,11
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","19-03-2026 16:00:00",21.185571,81.343175,NH3,3,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","19-03-2026 16:00:00",21.224231,81.408350,NO2,18,46,30
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","19-03-2026 16:00:00",21.224231,81.408350,OZONE,8,18,16
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","19-03-2026 16:00:00",26.0881305,87.93840336,OZONE,32,34,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","19-03-2026 16:00:00",27.308328,84.531742,NH3,2,83,26
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","19-03-2026 16:00:00",26.1403345,85.3650192,NO2,1,5,2
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","19-03-2026 16:00:00",25.03280,85.41948,PM10,35,109,59
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","19-03-2026 16:00:00",25.892357,86.590325,NH3,4,4,4
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","19-03-2026 16:00:00",25.859655,85.77944,PM10,35,200,101
India,Bihar,Patna,"Samanpura, Patna - BSPCB","19-03-2026 16:00:00",25.596727,85.085624,PM10,109,231,150
India,Bihar,Patna,"Samanpura, Patna - BSPCB","19-03-2026 16:00:00",25.596727,85.085624,SO2,3,5,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB","19-03-2026 16:00:00",25.596727,85.085624,CO,28,124,79
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","19-03-2026 16:00:00",25.366336,87.117468,PM10,51,74,58
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","19-03-2026 16:00:00",28.567890,77.250515,CO,52,106,105
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","19-03-2026 16:00:00",28.6573814,77.1585447,PM10,45,459,132
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","19-03-2026 16:00:00",28.623763,77.287209,PM10,67,336,139
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","19-03-2026 16:00:00",28.623763,77.287209,NH3,8,10,9
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","19-03-2026 16:00:00",28.623763,77.287209,OZONE,6,210,32
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","19-03-2026 16:00:00",28.674045,77.131023,NH3,4,9,7
